[2026-04-04 11:06:34] === RPCS3 copy started ===
[2026-04-04 11:06:34] Source: C:\MY_GAMES\RPCS3\
[2026-04-04 11:06:34] Dest:   D:\RPCS3
[2026-04-04 11:06:35] Found 22754 files to process.
[2026-04-04 11:06:36]    Copied in 0.86s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\spu-safe-v1-tane.dat
[2026-04-04 11:06:36]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\spu-safe-v1-tane.dat
[2026-04-04 11:06:37]    Copied in 0.68s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-0U3pFhJu1vKt89PEytrvHF-00001G-znver5.obj.gz
[2026-04-04 11:06:37]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-0U3pFhJu1vKt89PEytrvHF-00001G-znver5.obj.gz
[2026-04-04 11:06:37]    Copied in 0.8s at 0.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-1tbe6qy4PZTnevYcWGcwhX-00001G-znver5.obj.gz
[2026-04-04 11:06:38]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-1tbe6qy4PZTnevYcWGcwhX-00001G-znver5.obj.gz
[2026-04-04 11:06:38]    Copied in 0.71s at 0.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-1UyQ3fCCLjhNETEv2Uc8Hx-00001G-znver5.obj.gz
[2026-04-04 11:06:38]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-1UyQ3fCCLjhNETEv2Uc8Hx-00001G-znver5.obj.gz
[2026-04-04 11:06:39]    Copied in 0.93s at 0.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-20gevXLhPJ0qQszwJbcS7u-00001G-znver5.obj.gz
[2026-04-04 11:06:39]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-20gevXLhPJ0qQszwJbcS7u-00001G-znver5.obj.gz
[2026-04-04 11:06:40]    Copied in 0.65s at 0.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-20os9t8WrSi56oi5aV23Le-00001G-znver5.obj.gz
[2026-04-04 11:06:40]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-20os9t8WrSi56oi5aV23Le-00001G-znver5.obj.gz
[2026-04-04 11:06:41]    Copied in 0.69s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-2LVCmt4iX1MtXcJSpeW3P9-00001G-znver5.obj.gz
[2026-04-04 11:06:41]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-2LVCmt4iX1MtXcJSpeW3P9-00001G-znver5.obj.gz
[2026-04-04 11:06:41]    Copied in 0.67s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-3nhHP3VWvppfibXv2x5pxz-00001G-znver5.obj.gz
[2026-04-04 11:06:42]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-3nhHP3VWvppfibXv2x5pxz-00001G-znver5.obj.gz
[2026-04-04 11:06:42]    Copied in 0.68s at 0.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-49vcXuFhA9qFASuVvaF155-00001G-znver5.obj.gz
[2026-04-04 11:06:42]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-49vcXuFhA9qFASuVvaF155-00001G-znver5.obj.gz
[2026-04-04 11:06:43]    Copied in 0.67s at 0.2 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-4o8RZzThsJRRN9FfXQU25g-00001G-znver5.obj.gz
[2026-04-04 11:06:43]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-4o8RZzThsJRRN9FfXQU25g-00001G-znver5.obj.gz
[2026-04-04 11:06:44]    Copied in 0.67s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5fVpe3w3uZ50E9dgiy5p5K-00001G-znver5.obj.gz
[2026-04-04 11:06:44]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5fVpe3w3uZ50E9dgiy5p5K-00001G-znver5.obj.gz
[2026-04-04 11:06:45]    Copied in 0.69s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5kwud4pgeRtnzzPyWKT4uH-00001G-znver5.obj.gz
[2026-04-04 11:06:45]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5kwud4pgeRtnzzPyWKT4uH-00001G-znver5.obj.gz
[2026-04-04 11:06:45]    Copied in 0.71s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5W5eeQiJvQ6CceHHaAYJqa-00001G-znver5.obj.gz
[2026-04-04 11:06:45]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5W5eeQiJvQ6CceHHaAYJqa-00001G-znver5.obj.gz
[2026-04-04 11:06:46]    Copied in 0.67s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5Z2jqwFtWRzZaXu3N40wyn-00001G-znver5.obj.gz
[2026-04-04 11:06:46]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-5Z2jqwFtWRzZaXu3N40wyn-00001G-znver5.obj.gz
[2026-04-04 11:06:47]    Copied in 0.67s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-6LMYovSvgUFNWqmdKEWKpd-00001G-znver5.obj.gz
[2026-04-04 11:06:47]    Verified OK: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-6LMYovSvgUFNWqmdKEWKpd-00001G-znver5.obj.gz
[2026-04-04 11:06:48]    Copied in 0.71s at 0.3 MB/s: cache\BCUS98103\ppu-U8cvVcuVQZYC8o2PfsZdsPSR2qxp-EBOOT.BIN\v7-kusa-7hjyY8wabtQgk5PGW7z0uk-00001G-znver5.obj.gz
